CIF_NO,CODE_GENDER,NAME_EDUCATION_TYPE,FLAG_OWN_REALTY,NAME_HOUSING_TYPE,ORGANIZATION_TYPE,CNT_CHILDREN,OCCUPATION_TYPE,AMT_INCOME_TOTAL,DAYS_EMPLOYED,CREDIT_LIMIT
81796384,M,Secondary / secondary special,Y,House / apartment,Self-employed,2,,112500,-1868,0
81795485,F,Secondary / secondary special,N,House / apartment,Kindergarten,0,Core staff,180000,-4690,30000000
81796844,F,Higher education,N,House / apartment,Security Ministries,0,Core staff,135000,-2134,80000000
81888435,F,Higher education,Y,House / apartment,Business Entity Type 3,0,Accountants,202500,-1932,50000000
81898077,F,Secondary / secondary special,N,House / apartment,XNA,0,,135000,365243,0
75562974,F,Higher education,Y,House / apartment,Trade: type 7,0,Core staff,126000,-460,0
75571132,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Managers,157500,-5442,60000000
75570893,M,Secondary / secondary special,Y,House / apartment,Transport: type 2,1,Laborers,630000,-7639,20000000
79624832,F,Higher education,N,House / apartment,School,0,Core staff,157500,-815,10000000
75582566,F,Higher education,Y,Municipal apartment,Security Ministries,1,Core staff,247500,-1888,0
75537365,F,Higher education,N,House / apartment,Government,1,Core staff,180000,-874,30000000
76001435,F,Secondary / secondary special,N,House / apartment,Self-employed,0,,157500,-2807,30000000
76283164,F,Secondary / secondary special,N,House / apartment,Kindergarten,0,Core staff,126000,-4927,30000000
76026649,M,Secondary / secondary special,Y,With parents,Business Entity Type 3,0,Drivers,292500,-351,0
78008447,M,Incomplete higher,N,House / apartment,Self-employed,0,Sales staff,180000,-1715,50000000
73254592,M,Higher education,Y,House / apartment,Military,1,Managers,346500,-4807,30000000
73259642,F,Incomplete higher,Y,House / apartment,Self-employed,2,High skill tech staff,247500,-2494,5000000
79317823,F,Higher education,Y,House / apartment,Transport: type 4,0,Managers,202500,-3820,80000000
77183101,M,Secondary / secondary special,Y,House / apartment,Other,0,High skill tech staff,292500,-91,80000000
76498321,F,Secondary / secondary special,N,House / apartment,Business Entity Type 1,0,Laborers,135000,-378,0
77188981,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,67500,-429,0
76213420,M,Secondary / secondary special,Y,House / apartment,Self-employed,1,Laborers,157500,-1334,20000000
74273275,M,Secondary / secondary special,Y,House / apartment,Government,2,Security staff,112500,-7536,0
74326720,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Drivers,112500,-1268,5000000
77378787,F,Secondary / secondary special,Y,House / apartment,XNA,0,,112500,365243,0
76588196,F,Higher education,Y,House / apartment,Business Entity Type 3,0,Managers,364500,-897,0
77467038,F,Higher education,N,House / apartment,XNA,0,,180000,365243,50000000
77474137,F,Higher education,N,House / apartment,Self-employed,0,Sales staff,112500,-5096,20000000
73900279,F,Higher education,Y,House / apartment,Construction,0,Accountants,270000,-225,20000000
74131068,M,Secondary / secondary special,Y,House / apartment,XNA,0,,72450,365243,20000000
73234497,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Cooking staff,112500,-309,30000000
73998745,M,Secondary / secondary special,N,House / apartment,XNA,0,,202500,365243,0
74395145,M,Lower secondary,N,Municipal apartment,XNA,0,,112500,365243,20000000
74545572,F,Secondary / secondary special,Y,House / apartment,Electricity,1,Laborers,90000,-1408,80000000
73008493,F,Secondary / secondary special,Y,House / apartment,Industry: type 3,0,Laborers,103500,-1835,0
73081284,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,144000,-1276,0
74280257,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,2,Laborers,180000,-4777,50000000
74280344,F,Higher education,N,House / apartment,XNA,0,,130500,365243,3000000
73088412,F,Higher education,Y,House / apartment,XNA,0,,337500,365243,0
74704737,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,202500,-2336,60000000
73270205,M,Secondary / secondary special,N,With parents,Business Entity Type 3,1,Laborers,157500,-847,20000000
76805917,F,Higher education,Y,House / apartment,Business Entity Type 3,0,Managers,225000,-941,20000000
73396028,M,Higher education,Y,House / apartment,XNA,0,,94500,365243,0
73267813,M,Secondary / secondary special,Y,House / apartment,Housing,0,Laborers,140850,-3193,20000000
73128901,F,Higher education,Y,House / apartment,Business Entity Type 3,0,Accountants,337500,-485,0
73640736,F,Higher education,Y,House / apartment,XNA,0,,144000,365243,0
73640686,F,Secondary / secondary special,Y,House / apartment,Industry: type 7,1,High skill tech staff,148500,-2494,0
73800183,M,Secondary / secondary special,Y,House / apartment,Industry: type 11,0,Laborers,166500,-2412,30000000
73129038,F,Secondary / secondary special,Y,House / apartment,Transport: type 4,0,Laborers,112500,-6062,0
73096641,F,Incomplete higher,Y,House / apartment,Business Entity Type 3,0,,90000,-2707,0
73096652,F,Higher education,N,House / apartment,Bank,0,Core staff,76995,-1226,80000000
74821359,F,Higher education,Y,House / apartment,Business Entity Type 3,0,Laborers,252000,-5404,20000000
76185251,M,Higher education,Y,House / apartment,Business Entity Type 3,1,Low-skill Laborers,180000,-855,0
76185408,F,Higher education,N,House / apartment,Business Entity Type 3,2,Sales staff,211500,-388,10000000
76212422,F,Higher education,Y,House / apartment,Government,2,Accountants,270000,-326,20000000
74734393,M,Incomplete higher,Y,House / apartment,Self-employed,0,Drivers,180000,-1508,0
73882287,F,Higher education,Y,House / apartment,University,0,High skill tech staff,157500,-5121,0
73883029,F,Secondary / secondary special,Y,House / apartment,XNA,0,,67500,365243,30000000
74445921,F,Secondary / secondary special,Y,House / apartment,Industry: type 2,0,Laborers,112500,-1899,20000000
74198305,M,Secondary / secondary special,N,Municipal apartment,Self-employed,0,Laborers,112500,-2365,0
74559055,F,Higher education,Y,House / apartment,XNA,0,,117000,365243,80000000
74634631,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,2,Drivers,135000,-501,6000000
73591688,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Sales staff,202500,-1340,10000000
73077856,F,Secondary / secondary special,N,House / apartment,XNA,0,,51750,365243,3000000
76516479,F,Secondary / secondary special,Y,House / apartment,XNA,0,,81000,365243,80000000
76522286,F,Secondary / secondary special,Y,House / apartment,XNA,0,,126000,365243,30000000
76699356,M,Secondary / secondary special,N,House / apartment,Self-employed,0,Laborers,225000,-3163,0
76852010,F,Secondary / secondary special,Y,With parents,Trade: type 2,1,Sales staff,112500,-382,0
77109165,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Drivers,189000,-4714,0
77358802,M,Higher education,N,House / apartment,Bank,0,High skill tech staff,283500,-6585,0
77378163,F,Secondary / secondary special,Y,House / apartment,XNA,0,,90000,365243,0
77374955,F,Secondary / secondary special,Y,House / apartment,XNA,0,,193500,365243,0
74806442,M,Secondary / secondary special,Y,House / apartment,Self-employed,1,Drivers,225000,-3268,50000000
73069679,F,Secondary / secondary special,Y,House / apartment,XNA,0,,63000,365243,0
73069688,F,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,Cooking staff,90000,-2584,0
75682588,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,180000,-759,60000000
77443839,F,Higher education,N,House / apartment,Business Entity Type 3,1,,315000,-267,30000000
77460176,M,Secondary / secondary special,Y,House / apartment,Trade: type 7,0,Managers,135000,-2490,60000000
76306082,F,Secondary / secondary special,Y,House / apartment,Postal,0,Managers,112500,-9799,0
76550632,F,Higher education,Y,House / apartment,Housing,0,Accountants,234823.5,-3893,0
78254465,F,Secondary / secondary special,Y,House / apartment,Kindergarten,0,Accountants,67500,-379,0
79447502,F,Higher education,Y,House / apartment,Transport: type 4,0,Accountants,112500,-448,30000000
79660014,M,Secondary / secondary special,Y,House / apartment,Industry: type 5,1,Laborers,225000,-1351,20000000
78666076,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,1,Laborers,157500,-2790,10000000
79479104,M,Secondary / secondary special,N,House / apartment,Self-employed,2,Laborers,112500,-665,30000000
73499138,M,Incomplete higher,N,House / apartment,Business Entity Type 3,0,,225000,-1603,0
73915159,M,Secondary / secondary special,Y,House / apartment,Self-employed,0,Drivers,180000,-289,20000000
73003277,F,Secondary / secondary special,Y,House / apartment,XNA,0,,166500,365243,60000000
76452317,M,Higher education,Y,House / apartment,XNA,0,,166500,365243,0
76749678,M,Higher education,Y,House / apartment,Business Entity Type 3,0,IT staff,292500,-106,60000000
76894626,F,Higher education,Y,House / apartment,Kindergarten,2,Core staff,157500,-3078,30000000
76924098,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Core staff,72000,-941,20000000
76921275,F,Secondary / secondary special,Y,House / apartment,Other,0,Laborers,112500,-3085,30000000
80224995,F,Secondary / secondary special,Y,House / apartment,Restaurant,1,Cooking staff,180000,-841,6000000
80341513,M,Secondary / secondary special,Y,House / apartment,Housing,1,Drivers,247500,-2882,20000000
80436714,F,Higher education,Y,House / apartment,Business Entity Type 3,0,Realty agents,360000,-1660,20000000
74467268,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,2,Drivers,135000,-577,30000000
75998173,M,Secondary / secondary special,Y,House / apartment,XNA,1,,67500,365243,60000000
80539649,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Laborers,270000,-1997,10000000
79406598,F,Higher education,Y,House / apartment,Other,0,,450000,-668,6000000
79476765,F,Higher education,Y,House / apartment,Other,0,,157500,-13143,0
76798649,F,Higher education,Y,House / apartment,Business Entity Type 3,0,,270000,-2157,10000000
76959278,F,Secondary / secondary special,N,House / apartment,Self-employed,0,Sales staff,144000,-1573,20000000
73060234,F,Secondary / secondary special,Y,House / apartment,XNA,0,,225000,365243,30000000
76133018,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 2,0,Laborers,121500,-5256,30000000
74427711,M,Higher education,Y,House / apartment,Business Entity Type 3,2,Laborers,270000,-923,6000000
78651530,F,Secondary / secondary special,Y,House / apartment,XNA,0,,112500,365243,1000000
73863985,F,Higher education,N,Municipal apartment,Other,0,Core staff,76500,-813,0
77848429,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Sales staff,90000,-598,10000000
74435376,F,Secondary / secondary special,Y,House / apartment,Industry: type 9,0,Laborers,135000,-7183,30000000
74099553,F,Secondary / secondary special,Y,House / apartment,Industry: type 3,0,Laborers,90000,-1124,20000000
74085491,M,Higher education,N,House / apartment,Kindergarten,1,Core staff,216000,-158,0
74163832,F,Secondary / secondary special,N,House / apartment,Self-employed,0,Sales staff,72000,-183,20000000
74163857,F,Secondary / secondary special,Y,House / apartment,XNA,0,,157500,365243,0
73648882,M,Secondary / secondary special,N,Rented apartment,Business Entity Type 3,1,Laborers,112500,-787,80000000
74878223,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 1,0,,112500,-2478,30000000
73128507,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 2,0,Laborers,112500,-9516,80000000
73800433,M,Incomplete higher,Y,House / apartment,Business Entity Type 3,0,High skill tech staff,202500,-746,0
74740080,F,Higher education,Y,House / apartment,Trade: type 5,0,Sales staff,270000,-474,0
73559730,M,Secondary / secondary special,Y,House / apartment,Industry: type 9,1,,225000,-1250,10000000
74309177,F,Higher education,N,House / apartment,Other,2,Managers,135000,-497,20000000
73947720,F,Secondary / secondary special,Y,House / apartment,Other,1,Medicine staff,180000,-4704,30000000
73510194,F,Secondary / secondary special,N,With parents,Self-employed,1,Sales staff,90000,-617,80000000
75192385,F,Incomplete higher,Y,House / apartment,Business Entity Type 3,0,Accountants,207000,-3074,60000000
75158770,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,,157500,-757,80000000
75208293,F,Secondary / secondary special,Y,House / apartment,Postal,0,Managers,180000,-2510,0
78554444,F,Secondary / secondary special,Y,House / apartment,XNA,0,,90000,365243,0
75183656,F,Secondary / secondary special,N,House / apartment,XNA,0,,301500,365243,0
75229768,F,Secondary / secondary special,N,Municipal apartment,Business Entity Type 3,0,High skill tech staff,180000,-2242,30000000
75236092,F,Incomplete higher,N,House / apartment,Business Entity Type 3,0,Sales staff,157500,-2062,80000000
75233979,M,Secondary / secondary special,N,Municipal apartment,XNA,0,,225000,365243,5000000
75442319,F,Secondary / secondary special,Y,House / apartment,XNA,0,,90000,365243,20000000
78180998,M,Secondary / secondary special,Y,House / apartment,Industry: type 11,0,Laborers,112500,-1067,6000000
78274631,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Private service staff,247500,-3081,5000000
75247828,F,Secondary / secondary special,Y,House / apartment,Postal,0,Managers,90000,-8356,80000000
75475548,F,Secondary / secondary special,N,House / apartment,Transport: type 4,1,Managers,270000,-834,20000000
75563935,M,Higher education,Y,House / apartment,Self-employed,3,Managers,292500,-1171,3000000
75564944,F,Secondary / secondary special,N,House / apartment,Self-employed,1,Sales staff,360000,-1563,0
74620076,F,Higher education,N,House / apartment,Self-employed,0,Sales staff,225000,-2027,60000000
75262214,F,Higher education,N,House / apartment,Services,1,Private service staff,202500,-240,50000000
79292422,F,Secondary / secondary special,N,House / apartment,Industry: type 3,0,Drivers,157500,-4044,50000000
79724743,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Managers,675000,-3203,0
73169081,F,Higher education,N,House / apartment,XNA,0,,157500,365243,0
75275465,F,Higher education,N,House / apartment,XNA,0,,135000,365243,60000000
75275464,M,Incomplete higher,Y,House / apartment,Other,1,Low-skill Laborers,189000,-1281,80000000
75284069,M,Higher education,N,Office apartment,Military,0,,144000,-2547,20000000
74909331,F,Secondary / secondary special,Y,House / apartment,School,0,,67500,-4787,30000000
78639216,F,Secondary / secondary special,N,Municipal apartment,Hotel,0,Core staff,76500,-417,0
74711386,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Managers,202500,-358,30000000
74671965,F,Secondary / secondary special,Y,House / apartment,Self-employed,2,Sales staff,225000,-1005,0
74767129,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,Laborers,202500,-405,20000000
78674341,F,Secondary / secondary special,Y,House / apartment,Services,0,Private service staff,157500,-1137,60000000
76609832,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Laborers,139500,-2319,0
74766126,F,Secondary / secondary special,N,Municipal apartment,XNA,0,,112500,365243,0
74766171,M,Secondary / secondary special,Y,House / apartment,Medicine,0,Laborers,175500,-5109,60000000
77616516,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Cooking staff,202500,-915,80000000
74158962,M,Incomplete higher,Y,House / apartment,Self-employed,1,,135000,-1252,0
74428111,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 1,0,,126000,-771,6000000
74903715,M,Incomplete higher,Y,House / apartment,Business Entity Type 3,0,Managers,360000,-997,0
74927771,F,Secondary / secondary special,Y,House / apartment,Other,0,Sales staff,157500,-6245,5000000
75258702,F,Secondary / secondary special,Y,Municipal apartment,Medicine,0,Medicine staff,67500,-1130,0
73236030,F,Secondary / secondary special,N,House / apartment,Transport: type 1,0,Cooking staff,126000,-2362,30000000
74797160,F,Secondary / secondary special,N,House / apartment,Services,2,Private service staff,90000,-2067,0
74371695,M,Higher education,Y,Office apartment,Military,1,Drivers,202500,-7203,0
74351169,F,Higher education,Y,House / apartment,Medicine,0,Medicine staff,225000,-6914,30000000
76028483,F,Higher education,Y,House / apartment,XNA,0,,180000,365243,80000000
76390037,M,Higher education,N,With parents,Military,0,Managers,292500,-3881,5000000
74534515,M,Secondary / secondary special,N,Rented apartment,Business Entity Type 3,0,Sales staff,157500,-561,10000000
79208133,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Managers,166500,-3770,30000000
77388977,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Sales staff,157500,-578,20000000
76427680,M,Secondary / secondary special,Y,House / apartment,Industry: type 3,0,High skill tech staff,157500,-5345,20000000
74747022,M,Higher education,Y,House / apartment,Electricity,0,Managers,360000,-5368,0
73532749,F,Higher education,N,With parents,Government,0,Medicine staff,115200,-7122,20000000
75588405,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,,81000,-723,0
74514267,F,Secondary / secondary special,Y,House / apartment,XNA,0,,76500,365243,50000000
73142911,M,Secondary / secondary special,N,House / apartment,Business Entity Type 1,0,,135000,-123,5000000
73142971,F,Secondary / secondary special,Y,House / apartment,XNA,0,,76500,365243,80000000
74991937,M,Higher education,Y,House / apartment,Business Entity Type 3,2,Laborers,126000,-2301,20000000
73223303,F,Secondary / secondary special,Y,House / apartment,Industry: type 12,0,Accountants,198000,-1046,6000000
73888108,F,Secondary / secondary special,N,House / apartment,XNA,0,,189000,365243,80000000
73511777,F,Secondary / secondary special,Y,House / apartment,XNA,0,,90000,365243,0
73510417,F,Secondary / secondary special,Y,House / apartment,XNA,0,,90000,365243,20000000
74542154,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Sales staff,157500,-2188,0
73638372,F,Secondary / secondary special,N,Rented apartment,Security Ministries,0,Laborers,67500,-2348,60000000
74578771,M,Secondary / secondary special,Y,House / apartment,Transport: type 2,0,Laborers,112500,-4347,30000000
73255453,F,Higher education,Y,House / apartment,School,1,Core staff,126000,-358,80000000
73012682,F,Higher education,Y,House / apartment,Government,0,Core staff,112500,-732,0
73012570,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Low-skill Laborers,202500,-2855,20000000
74171935,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,High skill tech staff,112500,-4723,20000000
74171936,F,Secondary / secondary special,Y,House / apartment,Trade: type 7,0,Sales staff,90000,-3201,0
73001125,F,Secondary / secondary special,N,With parents,Security Ministries,0,,117000,-2606,0
73369034,M,Higher education,Y,House / apartment,Self-employed,0,Core staff,180000,-214,20000000
73001224,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 2,0,Laborers,135000,-199,80000000
81936658,M,Secondary / secondary special,Y,House / apartment,XNA,0,,292500,365243,0
81997379,F,Secondary / secondary special,Y,House / apartment,XNA,0,,135000,365243,3000000
82155170,M,Higher education,Y,House / apartment,Business Entity Type 3,0,,1080000,-5536,0
82156428,F,Higher education,Y,House / apartment,Kindergarten,0,Core staff,112500,-7679,20000000
82311093,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 1,0,Cooking staff,157500,-2769,0
82425715,F,Secondary / secondary special,Y,House / apartment,XNA,0,,76500,365243,20000000
79751152,F,Secondary / secondary special,N,House / apartment,Other,0,Medicine staff,180000,-180,5000000
82441802,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,,135000,-1719,1000000
82439798,M,Secondary / secondary special,N,House / apartment,Industry: type 1,0,Laborers,90000,-819,6000000
82480546,F,Secondary / secondary special,N,House / apartment,Government,0,Laborers,112500,-8164,90000000
82485635,M,Secondary / secondary special,Y,House / apartment,Medicine,1,High skill tech staff,112500,-4030,0
82523077,F,Secondary / secondary special,N,House / apartment,Trade: type 3,0,Managers,202500,-630,60000000
82591985,F,Higher education,Y,House / apartment,Business Entity Type 1,0,Laborers,202500,-1505,10000000
82664202,F,Secondary / secondary special,N,House / apartment,Self-employed,1,Sales staff,157500,-1264,20000000
82663827,M,Secondary / secondary special,N,With parents,Business Entity Type 3,0,Laborers,135000,-1336,20000000
82664502,F,Higher education,Y,House / apartment,Self-employed,1,Accountants,157500,-848,6000000
82669248,M,Secondary / secondary special,N,Office apartment,Police,0,Core staff,135000,-508,20000000
82675943,M,Secondary / secondary special,Y,With parents,Business Entity Type 3,1,Drivers,225000,-2693,6000000
82689000,M,Secondary / secondary special,Y,House / apartment,Transport: type 4,0,Drivers,225000,-460,0
82689256,F,Secondary / secondary special,N,House / apartment,Self-employed,0,Private service staff,126000,-3078,0
82737778,F,Secondary / secondary special,Y,House / apartment,XNA,0,,135000,365243,0
82815349,F,Secondary / secondary special,Y,House / apartment,Construction,0,Cleaning staff,112500,-8306,20000000
82887031,F,Secondary / secondary special,N,House / apartment,Business Entity Type 3,1,Managers,121500,-2154,0
82912293,F,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,Sales staff,247500,-2092,80000000
78129524,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 1,1,,112500,-4533,50000000
74031894,F,Secondary / secondary special,N,House / apartment,Trade: type 7,2,Sales staff,405000,-802,20000000
74230999,M,Secondary / secondary special,Y,House / apartment,Other,1,Laborers,121500,-3070,30000000
73003858,F,Secondary / secondary special,Y,House / apartment,University,0,Medicine staff,90000,-1216,30000000
74496821,F,Higher education,Y,House / apartment,Trade: type 2,0,Core staff,337500,-2797,0
73076198,M,Secondary / secondary special,Y,House / apartment,Self-employed,1,Managers,202500,-1175,0
73057825,F,Secondary / secondary special,N,House / apartment,XNA,0,,112500,365243,0
73076251,F,Higher education,N,House / apartment,Business Entity Type 3,0,Sales staff,180000,-3456,30000000
73402764,M,Higher education,Y,House / apartment,Business Entity Type 3,0,,225000,-3072,0
74893636,M,Secondary / secondary special,N,With parents,Self-employed,0,Laborers,157500,-902,10000000
73003362,M,Secondary / secondary special,Y,House / apartment,Industry: type 9,2,Drivers,90000,-123,0
74099723,F,Secondary / secondary special,Y,House / apartment,Services,0,Private service staff,135000,-3571,0
74510175,F,Higher education,Y,House / apartment,Trade: type 7,1,Sales staff,112500,-2524,30000000
74510187,F,Secondary / secondary special,Y,House / apartment,Self-employed,2,Sales staff,99000,-970,20000000
74510273,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Sales staff,67500,-3450,0
74559007,M,Secondary / secondary special,Y,With parents,Bank,0,Core staff,180000,-2126,30000000
74434781,M,Higher education,Y,House / apartment,XNA,0,,135000,365243,0
74263065,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,High skill tech staff,202500,-4908,0
74553837,F,Secondary / secondary special,N,House / apartment,Construction,0,Cleaning staff,180000,-754,30000000
74698580,F,Higher education,Y,Municipal apartment,XNA,0,,382500,365243,80000000
74716052,F,Secondary / secondary special,Y,House / apartment,XNA,0,,225000,365243,0
77294156,M,Secondary / secondary special,Y,House / apartment,Restaurant,0,Drivers,126000,-814,0
77702492,F,Higher education,Y,House / apartment,Transport: type 3,1,Drivers,180000,-789,30000000
78530967,F,Higher education,Y,House / apartment,Business Entity Type 3,0,Accountants,238500,-1930,50000000
76209891,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,Cooking staff,292500,-2700,0
74544125,M,Secondary / secondary special,Y,House / apartment,Transport: type 2,3,,202500,-2520,0
74544124,M,Secondary / secondary special,N,House / apartment,Trade: type 7,0,Laborers,126000,-261,0
74544126,F,Secondary / secondary special,Y,House / apartment,Other,2,High skill tech staff,112500,-5817,0
73164318,F,Higher education,Y,House / apartment,Postal,1,High skill tech staff,270000,-2333,6000000
73111909,F,Secondary / secondary special,Y,House / apartment,Industry: type 11,0,,54000,-2729,10000000
74615594,M,Secondary / secondary special,N,House / apartment,Business Entity Type 1,1,Laborers,81000,-566,5000000
73456814,F,Secondary / secondary special,Y,House / apartment,Hotel,1,,202500,-358,30000000
73677334,F,Higher education,Y,House / apartment,Services,0,Private service staff,157500,-5091,50000000
74884378,M,Secondary / secondary special,N,House / apartment,Housing,0,Laborers,112500,-1823,20000000
73040165,M,Secondary / secondary special,Y,House / apartment,Government,0,Laborers,144000,-1945,30000000
73732044,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Sales staff,180000,-1962,30000000
73732216,M,Secondary / secondary special,Y,House / apartment,XNA,0,,157500,365243,0
73953353,M,Secondary / secondary special,Y,Rented apartment,Business Entity Type 3,0,Laborers,157500,-1333,30000000
74774843,F,Lower secondary,Y,House / apartment,XNA,0,,225000,365243,10000000
73656105,F,Secondary / secondary special,Y,House / apartment,Medicine,2,Medicine staff,90000,-2665,0
73953489,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Drivers,450000,-923,0
74135646,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,,67500,-3184,0
73953445,F,Higher education,N,House / apartment,Other,0,Sales staff,630000,-3511,30000000
73953488,F,Secondary / secondary special,Y,House / apartment,Government,1,Core staff,76500,-327,20000000
74545331,F,Higher education,Y,House / apartment,School,0,Core staff,315000,-8236,0
74432497,F,Secondary / secondary special,Y,House / apartment,XNA,0,,112500,365243,5000000
74432513,F,Higher education,N,House / apartment,Business Entity Type 1,0,Managers,234135,-2338,3000000
74432533,F,Secondary / secondary special,Y,House / apartment,XNA,0,,76500,365243,5000000
73053898,F,Secondary / secondary special,N,House / apartment,XNA,0,,135000,365243,0
73069744,F,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,,135000,-791,50000000
73296917,F,Secondary / secondary special,Y,House / apartment,Trade: type 7,3,Sales staff,171000,-398,3000000
73081890,M,Secondary / secondary special,Y,House / apartment,Transport: type 3,1,Drivers,270000,-794,20000000
74295750,F,Secondary / secondary special,Y,House / apartment,XNA,0,,112500,365243,10000000
74467671,F,Secondary / secondary special,Y,Municipal apartment,Business Entity Type 3,0,Laborers,157500,-11545,5000000
74467678,F,Higher education,Y,House / apartment,Self-employed,0,Sales staff,90000,-2014,0
74467679,F,Higher education,Y,House / apartment,XNA,0,,292500,365243,6000000
74958714,F,Secondary / secondary special,N,House / apartment,XNA,0,,247500,365243,10000000
73742827,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Laborers,202500,-2434,30000000
74806443,F,Secondary / secondary special,Y,House / apartment,XNA,0,,405000,365243,20000000
74580190,F,Secondary / secondary special,N,Municipal apartment,Business Entity Type 2,1,Cleaning staff,157500,-1458,20000000
73128071,F,Higher education,Y,House / apartment,Other,0,,720000,-1059,80000000
74864508,F,Higher education,Y,House / apartment,School,0,Core staff,292500,-9888,20000000
74901069,M,Secondary / secondary special,Y,House / apartment,Industry: type 11,0,Laborers,220500,-152,0
74901276,F,Secondary / secondary special,Y,House / apartment,Trade: type 7,0,Sales staff,67500,-2486,0
74300232,F,Secondary / secondary special,N,House / apartment,Trade: type 7,1,,112500,-3881,10000000
73257484,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Sales staff,180000,-168,0
73168837,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,Laborers,112500,-2228,0
73168858,M,Higher education,N,With parents,Business Entity Type 2,0,Managers,247500,-9568,10000000
73128479,M,Secondary / secondary special,N,House / apartment,Self-employed,0,Laborers,180000,-754,80000000
73231644,M,Secondary / secondary special,Y,House / apartment,XNA,0,,225000,365243,90000000
74401223,F,Secondary / secondary special,Y,House / apartment,Medicine,2,Medicine staff,112500,-732,4000000
74401233,M,Secondary / secondary special,N,House / apartment,Industry: type 9,0,Laborers,202500,-2585,30000000
80592255,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Laborers,270000,-4924,0
80603239,F,Secondary / secondary special,Y,House / apartment,XNA,0,,135000,365243,5000000
80602937,M,Secondary / secondary special,Y,House / apartment,Security,1,Security staff,157500,-909,30000000
80602731,F,Secondary / secondary special,Y,House / apartment,Agriculture,0,Medicine staff,135000,-12545,0
80444958,F,Incomplete higher,N,Municipal apartment,Postal,0,Core staff,157500,-534,0
80850499,F,Secondary / secondary special,N,House / apartment,XNA,0,,99000,365243,30000000
80908384,M,Incomplete higher,Y,House / apartment,Self-employed,0,Drivers,171000,-1458,30000000
80978415,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Laborers,157500,-660,50000000
81045862,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Private service staff,292500,-4487,0
76733084,F,Higher education,Y,House / apartment,Business Entity Type 3,0,,139500,-809,30000000
81117307,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 2,0,,90000,-6228,30000000
81115568,M,Higher education,N,Municipal apartment,Cleaning,0,Security staff,153000,-6724,5000000
81439079,F,Secondary / secondary special,Y,House / apartment,Trade: type 7,0,Sales staff,202500,-2642,20000000
